LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_6,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,credit_utilization,avg_pay_amt,pay_bill_ratio_avg,max_delay,monthly_burden_ratio,std_pay_bill_ratio,Predicted_Label,Prob_Class_0,Prob_Class_1,True_Label
0.818172786,2,1,2,0.784376329,-1,-1,-1,-1,-1,-0.273292871,0.964641261,1.171554744,0.903497422,1.146054547,0.939505931,1.012424607,-0.573140722,1.243065632,1.89070177,-1.12555572,0.160769059,0.246206393,0,0.956954409,0.043045591,0
0,1,1,1,0.580928959,-1,-1,-1,-1,-1,-0.369499354,-0.29955293,-0.038068117,-0.090126967,-0.012788063,-0.138823543,0.074013237,-0.630816891,-0.274857876,1.580213292,-1.12555572,-0.565526639,0.347900668,0,0.72924705,0.27075295,0
-0.217438296,2,3,2,-0.160826145,0,0,0,0,0,0.841509414,1.935606183,0.029275861,-0.10540038,-0.099617109,-0.333144488,-0.262004783,0.318557736,0.480037846,0.005383397,0,0.57252563,0.035287373,0,0.903585565,0.096414435,0
0.047040654,2,2,1,1.045577367,-1,-1,-1,-1,0,-0.181029867,2.159405846,2.128202609,1.266184748,1.477807026,0.3380113,0.629021881,-0.243417819,1.679720501,1.417369292,0,1.377934396,0.561385168,0,0.994757423,0.005242577,0
-0.049575713,1,2,2,1.084854877,0,0,0,0,-1,0.126727779,0.087518845,-0.35754819,-1.733562223,-0.685072009,-1.605527852,-1.425858994,-0.309844895,-0.721607127,-0.087893037,0,-0.838209622,0.123817639,0,0.908507026,0.091492974,0
0.514229288,2,1,2,0.075281723,0,0,0,0,0,2.543377539,0.773238766,0.584232067,0.344298118,0.416105557,0.419439289,0.351610506,0.278631575,0.429022949,-0.101134553,0,-0.335121114,-0.093260094,0,0.94366916,0.05633084,0
-0.217438296,2,2,2,-0.636726951,-1,-1,-1,-1,-1,-0.18190144,-0.276389842,-2.130954938,-1.733562223,-1.676919364,-1.605527852,-1.425858994,-0.591149958,-1.125244182,0.028000442,-1.12555572,-0.960752601,-0.041381885,0,0.834986529,0.165013471,0
-0.427640992,1,1,2,-0.531659974,0,0,0,0,0,-0.223877683,-0.197796046,-0.001922986,-0.238970144,0.118805404,0.113618786,0.240469872,-0.177840194,-0.132224691,0.121288535,0,0.039335725,-0.050034752,0,0.833370471,0.166629529,0
-0.512494733,2,1,2,0.735986767,0,0,0,0,0,-0.104020063,1.864438236,0.230638535,0.230132894,-0.157735978,0.283616202,-1.425858994,0.106768087,0.539488261,0.293498852,0,1.109543563,0.385143499,0,0.853854697,0.146145303,0
-0.427640992,2,1,1,-0.43195142,0,0,0,0,0,0.693168116,0.289359456,0.250299109,0.197752224,0.232417889,0.27486226,0.240469872,0.645740657,0.132936414,-0.081134035,0,0.427604369,-0.095013285,0,0.871738032,0.128261968,0
-0.351271618,1,2,2,-0.636726951,0.455658403,0.762510588,0,0,-1,0.89533944,-2.284972427,0.375360039,-1.733562223,-1.676919364,-1.605527852,-1.425858994,0.28145274,-0.69980428,-0.132314274,1,-0.684953312,-0.075072741,0,0.658182189,0.341817811,0
0.091832672,1,2,1,-0.531659974,0.455658403,-1,-1,-1,-1,-0.418055718,-2.284972427,-2.130954938,-1.733562223,-1.676919364,-0.054454395,-0.06052814,-0.666968051,-0.871904373,3.066232744,0.509247606,-0.936506342,1.81502093,0,0.739898879,0.260101121,0
0.383448383,1,1,1,0.468340026,0.895911216,0.762510588,0.753295259,0.337823382,0.743348363,1.617187178,1.205706778,-2.130954938,0.705435799,0.799742948,0.572528534,-1.425858994,0.395582033,0.576718115,-0.087335793,1,-0.00582024,-0.048954749,1,0.020867657,0.979132343,1
-0.853837636,1,3,2,-0.337162648,0.455658403,0.762510588,0.753295259,0.751743851,0.743348363,-0.317600494,-0.417809627,-0.155648881,-0.238970144,-0.157735978,-1.605527852,-0.128917569,-0.114111116,-0.526307685,0.104018107,1,0.132377684,0.021791715,1,0.395354217,0.604645783,0
-1.026203115,2,1,2,-0.160826145,-1,-1,-1,-1,-1,-0.364504388,0.917493802,-2.130954938,-1.733562223,0.43946873,0.095263728,-1.425858994,-0.279301762,-0.027466272,1.362749756,-1.12555572,1.289965052,1.829833424,0,0.836573192,0.163426808,1
-0.510432057,1,1,2,-0.248197239,0.895911216,0.762510588,0.753295259,0.751743851,0.738151774,0.58071051,0.266226742,-2.130954938,0.437890471,-1.676919364,0.486794591,-1.425858994,0.644544261,-0.084462255,-0.095570935,1,0.241624284,-0.048526346,1,0.002309134,0.997690866,1
-0.576575804,2,2,1,0.301343598,0.044457839,0.038762251,-1,-1,-1,0.413652731,-2.284972427,-2.130954938,-1.733562223,-1.676919364,-1.605527852,-1.425858994,-0.230290632,-2.205168593,-0.161355007,0.049686449,-1.073932701,-0.099869115,1,0.002009549,0.997990451,1
0.423538156,2,2,1,0.408944057,0,0,0,0,0.743348363,0.351798174,3.936928565,0.473801587,-1.733562223,-0.132532556,-1.605527852,1.71410047,-0.171504319,2.184814472,1.087759728,1,1.359831241,1.810874535,0,0.94291063,0.05708937,0
-0.608465579,2,2,2,-0.747647644,0,0,0,0,0,0.422697681,0.028495478,-0.219203867,-0.495745679,-0.5658205,-0.385537003,-0.330983376,0.347902368,-0.542997378,-0.104178142,0,-0.284143276,-0.076735734,0,0.656783028,0.343216972,0
-0.351271618,1,2,2,-0.24690361,0,0,0,0,0,0.761669547,0.22597165,0.324219864,0.663788002,0.31151357,0.283616202,0.240469872,0.609742846,0.293094761,-0.066353864,0,0.531065554,-0.070408306,0,0.847778847,0.152221153,0
-0.561300309,2,2,1,0.159133704,0.895911216,0.762510588,0.753295259,0.751743851,0.743348363,-0.007500304,-0.125892404,-0.138507713,-0.202695248,-0.139382224,-0.150869088,-1.425858994,0.195983091,-0.450682577,-0.076590291,1,-0.216213779,-0.064893585,1,0.006241061,0.993758939,1
0.091832672,2,3,3,0.147455335,-1,-1,0,-1,-1,-0.221753901,2.250446183,-0.334588351,0.579700558,0.630813847,-1.605527852,0.380187125,-0.410782459,0.872082421,0.993627583,0,0.611171693,1.830370545,0,0.929203442,0.070796558,0
0.047040654,2,2,2,0.147455335,0,0,0,0,0,1.582666296,0.665773322,0.879431456,0.559223173,0.538996358,0.534024268,0.277890883,0.610773453,0.559896126,-0.087652203,0,0.292566371,-0.085397025,0,0.747713019,0.252286981,1
0.700992914,2,3,1,0.876713371,-1,-1,0.753295259,-1,-1,-0.197674845,1.042400551,-2.130954938,0.39692276,-0.023661917,0.598317998,0.204858884,-0.60891879,0.313976812,1.036169432,1,-0.545899283,0.810508794,0,0.770935523,0.229064477,0
-0.608465579,2,2,1,0.92080798,0,0,0,0,0,0.444557112,-0.008755909,0.08997148,-0.013040019,0.03321894,0.005108447,0.129924405,0.646326868,-0.131062753,-0.088449208,0,0.338428686,-0.091199114,0,0.822556452,0.177443548,0
0.252764482,1,1,2,-0.078618379,0,0,0,0,0,0.411338287,0.075743295,0.089488564,-0.063309455,-0.157735978,-0.385537003,-0.353232756,-0.164730315,-0.318717028,-0.092266514,0,-0.732924629,-0.062999029,0,0.86282522,0.13717478,0
0.454615599,1,2,2,-0.636726951,0,0,0,0,0,1.789424304,0.652365589,0.560405817,0.483321279,0.538996358,0.400105996,0.269516392,0.293414625,0.435039814,-0.097803515,0,-0.282477701,-0.096275469,0,0.905091226,0.094908774,0
0.423538156,2,2,1,0.283288418,0.895911216,0,0,0,0,2.84402233,0.945713788,0.783301787,0.752652071,0.710725847,0.67953213,0.629021881,0.533612844,0.804791035,-0.091886791,1,0.120503765,-0.093268765,1,0.206368136,0.793631864,0
-0.217438296,1,2,1,0.283288418,0,0,0,0,0,-0.107927191,-0.029580092,-0.001922986,0.047214103,0.118805404,0.113618786,0.435321903,-0.351060093,0.027417579,0.29135534,0,-0.034144856,0.088639051,0,0.855939449,0.144060551,0
0,1,2,2,-0.078618379,0,0,0,0,0,3.34950225,0.83794171,-0.001922986,0.045683696,0.118805404,0.113618786,0.09661662,0.476416248,0.105672786,-0.109696352,0,-0.193465317,-0.038512709,0,0.795767595,0.204232405,0
-0.15780864,2,3,1,0.525627896,0,0,0,0,0,1.341647519,0.697001044,0.649918998,0.483321279,0.4545352,0.515374486,0.435321903,0.692045335,0.511948434,-0.07932203,0,0.523244542,-0.092829407,0,0.902667433,0.097332567,0
-0.608465579,1,2,1,0.935108625,0,0,0,0,0,-0.320265184,-0.408807631,-0.322196073,-0.162526651,-0.029622792,-0.07740734,-0.632883574,-0.323574495,-0.47110967,0.194659157,0,-0.184526398,0.024464375,1,0.336248001,0.663751999,1
-1.011441585,2,1,1,0.193577549,0.895911216,0,0,0,0,-0.048031337,-0.16142619,-0.190443645,-0.149957817,-0.323804701,-0.287955372,-0.21525745,0.628776758,-0.455484582,-0.061836699,1,0.606902411,-0.070676161,1,0.00735889,0.99264111,1
-0.698644086,2,1,2,-0.769912354,0.895911216,0.762510588,0.81731151,0.751743851,0.743348363,0.110748961,-0.08366957,-2.130954938,0.181833104,-0.532535019,-0.104604748,-0.046792864,0.468240754,-0.361058415,-0.083017869,1.090595497,0.125757131,-0.050372768,1,0.002370477,0.997629523,1
-1.026203115,2,2,2,0.784376329,0,0,0,-1,-1,-0.034640176,-0.029580092,0.001644028,0.45473063,-1.676919364,-1.605527852,-1.425858994,0.30264616,-0.286552858,0.092206467,0,0.941348253,0.015848217,0,0.86940354,0.13059646,0
-0.608465579,2,1,2,-0.531659974,0,0,0,0,0,-0.272622832,-0.029580092,-0.001922986,-0.488937242,0.118805404,0.113618786,-0.128917569,-0.317339012,-0.240876193,0.342430773,0,0.163565596,0.063723736,0,0.931582003,0.068417997,0
-0.102035033,2,1,2,-0.43195142,-1,-1,-1,-1,-1,-0.385774948,-0.417809627,-2.130954938,-1.733562223,0.220358509,-0.359654441,-0.153757822,-0.6569461,-0.573045045,2.818784941,-1.12555572,-0.729720354,1.368829829,0,0.681980518,0.318019482,0
-0.608465579,2,3,2,-1.26236711,0,0,0,0,0,0.231084703,1.769351967,0.233422135,-0.132757284,0.539888018,0.115235343,0.404303963,0.516527823,0.626893975,0.120263372,0,1.319137966,0.118188218,0,0.899514909,0.100485091,0
0.201674047,2,1,2,-0.379078832,0.895911216,0.762510588,0.753295259,0.751743851,0.743348363,1.686035571,1.007623786,0.78707622,0.537745285,0.44570396,0.708354345,-0.989058474,0.527410519,0.591300234,-0.08959754,1,0.134952643,-0.06856261,1,0.008581493,0.991418507,1
0.134614555,1,2,1,0.525627896,0,0,0,0,0,1.964865236,0.731661225,0.675530289,0.4291036,0.487236564,0.465892792,0.393836409,0.488816389,0.49483634,-0.087744116,0,0.102607489,-0.095859534,0,0.869367403,0.130632597,0
0.289242979,2,2,1,0.216728087,-1,-1,-1,-1,-1,-0.345338712,-0.09305911,-0.777838811,-0.338017035,0.180193013,-0.14162797,-0.069864826,-0.643405692,-0.36970895,1.264738178,-1.12555572,-0.776045831,0.660098742,0,0.774553608,0.225446392,0
0.534530923,2,2,1,-0.607167855,0,-0.281335741,-0.281335741,-1,-1,-0.243124944,-0.40244212,-0.370866927,-0.237448571,0.050401822,0.28767001,-0.196819311,-0.623668375,-0.25760503,0.665711585,0,-0.804588699,0.60541001,1,0.234857656,0.765142344,1
-0.608465579,1,2,1,-0.531659974,0.895911216,0.762510588,0.753295259,0,0,0.386048435,0.504894107,-2.130954938,-0.02117119,-0.156610712,-0.275615297,-0.19641117,0.557594232,-0.288364451,-0.097121267,1,0.089005734,-0.058221126,1,0.311186676,0.688813324,1
0.904394429,1,1,1,1.425799385,0,0,0,0,0,5.033314333,1.769005152,1.522845107,1.235458612,1.138546522,1.00749736,0.971272912,0.578750995,1.510995771,-0.079875415,0,0.334777846,-0.093520759,0,0.564298365,0.435701635,0
0.332663249,2,2,1,-0.142751855,-1,-1,-1,-1,-0.38109985,-0.294050532,1.195618109,1.916123849,0.549077111,1.235061274,0.877429627,0.588327741,-0.515781283,1.30962695,2.274088238,-0.428949116,0.780250448,0.685023203,1,0.046579574,0.953420426,1
0.289242979,1,2,2,-0.747647644,0,0,0,0,0,1.018490685,0.42134058,0.407693607,0.369743379,0.538996358,0.603146129,1.131250117,0.209271564,0.827398603,-0.00632358,0,0.301451426,-0.006596148,0,0.907743617,0.092256383,0
0.252764482,2,3,1,0.876713371,0.895911216,-1,0.753295259,0.751743851,0,-0.400810462,2.830790257,-2.130954938,0.579700558,-1.676919364,0.515374486,0.14302153,-0.089631571,1.117193002,0.281318759,1,0.67598069,1.679264506,1,0.284035477,0.715964523,1
0,1,1,1,0.347308094,0.455658403,-1,-1,-1,-1,-0.418055718,-2.284972427,-2.130954938,-1.733562223,-1.676919364,-1.605527852,-1.425858994,-0.672407241,-2.205168593,-0.161355007,0.509247606,-1.073932701,-0.099869115,1,0.43219179,0.56780821,1
0.175587205,1,1,1,1.719262597,0.455658403,-1,-1,-1,-1,-0.418055718,-2.284972427,-2.130954938,-1.733562223,-1.676919364,-1.605527852,-1.425858994,-0.672407241,-2.205168593,-0.161355007,0.509247606,-1.073932701,-0.099869115,1,0.130395274,0.869604726,1
-1.026203115,2,1,2,-1.26236711,-1,-1,-1,-1,-1,-0.064511359,-2.284972427,-2.130954938,-1.733562223,-1.676919364,-1.605527852,-1.425858994,-0.232854054,-2.205168593,-0.161355007,-1.12555572,-1.073932701,-0.099869115,0,0.762680053,0.237319947,0
0.32446787,2,3,1,0.963609725,0,0,0,0,0,0.339061677,-0.029580092,-0.121942642,-0.050015272,-0.157735978,0.283616202,-0.128917569,-0.225932531,-0.20100729,-0.068556928,0,-0.69352654,-0.063534968,0,0.967125748,0.032874252,0
-0.598986199,1,3,1,0.793772293,0.478737806,0.762510588,0,0,0,0.662217901,-2.284972427,0.139998298,-0.383272409,-0.288557039,-0.230313786,-0.30716304,0.588653767,-0.539956103,-0.124321678,1,-0.292144289,-0.079803075,1,0.002210281,0.997789719,1
0.252764482,2,2,1,0.147455335,-1,-1,-1,-1,-1,-0.405666916,-0.274283411,-0.101878412,1.116471601,1.682991983,-0.463028009,0.601565624,-0.513785497,1.049198051,1.813362077,-1.12555572,0.600580002,1.377494199,0,0.811104937,0.188895063,0
-0.351271618,2,2,2,-0.43195142,0,0,0,0.751743851,0,0.564990416,0.169935113,0.313218299,0.417676682,-1.676919364,0.188594234,0.724983036,0.50540307,0.304013417,-0.045754655,1,0.546410082,-0.033018084,0,0.673961433,0.326038567,1
-0.619468169,1,2,1,-0.172983521,0.455658403,1.090229331,0.753295259,0.751743851,0.743348363,-0.121034895,-2.284972427,0.00157464,-1.733562223,-0.026387159,-1.605527852,0.020339263,0.053455716,-0.571209988,-0.060966188,1.456033971,-0.304306657,-0.021971345,1,0.001477351,0.998522649,1
-0.102035033,1,1,1,0.735986767,0,0,0.753295259,0.751743851,0.743348363,-0.126904104,0.268751501,-0.268826913,-0.167639513,-0.157735978,-0.150869088,-1.425858994,-0.24154756,-0.361812891,-0.028618027,1,-0.568902947,-0.008483407,1,0.332808361,0.667191639,0
0.252764482,2,2,1,-0.43195142,0,0,0,0,0,0.192165552,-0.195156053,-0.181402626,-0.237817779,0.118805404,0.113618786,-0.110896433,-0.253912028,-0.270940714,-0.063134653,0,-0.703976626,-0.078117573,0,0.939337838,0.060662162,0
-0.217438296,2,1,2,-0.531659974,0,0,0,0,0,-0.0360135,-0.092403807,-0.001922986,-0.10540038,-0.212371162,-0.150869088,0.09661662,-0.091378325,-0.266923475,-0.036724678,0,-0.383147333,-0.067981143,0,0.891634703,0.108365297,0
0.39032623,1,1,1,0.634712425,-1,-1,-1,-1,-1,-0.378647798,-0.20762969,-0.165172148,-0.084160637,-0.007582394,-0.006753826,-0.39967271,-0.648002535,-0.350989279,1.378937942,-1.12555572,-0.80142466,0.217440232,1,0.073293551,0.926706449,1
0.925044795,1,1,1,0.468340026,-1,-1,-1,-1,-1,0.72541898,1.661074644,0.989229507,2.697038142,0.664901173,-1.605527852,-1.425858994,-0.408341095,1.899037914,1.062136536,-1.12555572,0.679759568,1.287524472,0,0.882221513,0.117778487,0
0.047040654,1,1,2,-0.078618379,0,0,0,0,0,0.826002925,0.581455708,1.054840196,0.483321279,0.630813847,0.283616202,0.572521899,0.046660836,0.629985949,0.075487798,0,0.379331778,0.003905411,0,0.974991846,0.025008154,0
-0.565177882,1,2,2,-0.195234898,0,0,0,0,0,-0.173269094,-0.197796046,-0.214031451,-0.050535842,-0.005928722,-0.082819512,-0.159360591,-0.056198019,-0.325720453,0.057807317,0,-0.029471054,-0.036569205,1,0.009188465,0.990811535,1
-0.46560695,1,3,3,0.721174746,0,0,0,0,0,0.404198685,0.016126351,0.103024599,0.145496924,0.029695824,0.053848441,0.177061267,0.511361878,-0.049136527,-0.079224129,0,0.227888424,-0.080803219,1,0.087669683,0.912330317,1
0.391534421,2,2,1,0.525627896,0,0,0,0.751743851,0,-0.005164411,1.492563288,1.614509966,0.279912916,1.579508966,0.864227968,0.726135872,-0.173682523,1.383876176,0.454327954,1,0.783430768,0.18214216,0,0.981868123,0.018131877,0
0.94536103,2,1,2,0,0.455658403,-1,-1,-1,-1,-0.446631136,-2.284972427,-2.130954938,-0.086168199,-0.286126456,-0.154476359,0.264229243,-0.669305024,-0.453941877,4.573914994,0.509247606,-0.954002032,1.085425676,0,0.916306609,0.083693391,0
0.047040654,2,1,2,0.075281723,-1,0.762510588,0.753295259,0.751743851,0.743348363,-0.115438117,-2.284972427,1.401452537,-1.733562223,-0.259336832,-1.605527852,0.185880828,-0.299474564,0.175278302,0.155833957,1,-0.1655229,0.35627868,1,0.478494283,0.521505717,0
-0.853837636,2,3,2,0.525627896,0,0,0,0.751743851,0,0.065246696,-0.125892404,0.250687138,-0.238970144,-0.152137299,-0.275132484,-0.128917569,0.545318217,-0.30085847,-0.054716981,1,0.535778906,-0.057985368,0,0.692304846,0.307695154,0
0.252764482,2,2,1,0.147455335,0.895911216,0,0,0,0,2.374361539,1.046746981,0.783301787,0.483321279,0.538996358,0.515374486,0.435321903,0.531531211,0.628619944,-0.091854339,1,0.117767151,-0.093296786,1,0.231976102,0.768023898,1
-0.608465579,2,2,1,-0.747647644,0,0,0,0,0,0.306325946,-0.098652379,0.00246458,-0.090979305,-0.052722335,-0.223499497,-0.135753811,0.389404526,-0.311376951,-0.078284922,0,0.053262138,-0.086544679,0,0.65650935,0.34349065,0
0.391534421,2,2,1,1.160250299,0.895911216,0.762510588,-1,-1,-1,-0.355604356,-2.284972427,-2.130954938,-1.733562223,-1.676919364,-1.605527852,-1.425858994,-0.665441725,-2.205168593,-0.161355007,1,-1.073932701,-0.099869115,1,0.081024038,0.918975962,1
0.175587205,2,1,2,-0.636726951,0.455658403,-1,-1,-1,-1,-0.418055718,-0.186548929,-2.130954938,-0.04739706,-1.676919364,-1.605527852,-1.425858994,-0.660782254,-0.783640472,1.578193088,0.509247606,-0.923558682,1.821886532,0,0.760953626,0.239046374,0
0.391534421,1,2,1,0.147455335,0,0,0,0,-1,2.771699432,1.276844782,0.686925176,-1.733562223,-1.676919364,-1.605527852,-1.425858994,0.256063214,0.139723429,-0.113418367,0,-0.489420015,-0.07206927,0,0.917439689,0.082560311,0
0.239472361,2,3,1,1.177419632,-1,-1,-1,-1,-1,-0.37440989,-2.284972427,-2.130954938,-1.733562223,-1.676919364,-1.605527852,-1.425858994,-0.661924798,-2.205168593,-0.161355007,-1.12555572,-1.073932701,-0.099869115,1,0.330280241,0.669719759,1
0.484827693,1,1,2,0.147455335,-1,-1,-1,-1,-1,-0.104548546,-0.027171533,-0.151167745,-0.231718706,-0.393165637,-0.539363125,0.246531961,-0.495841968,-0.307896185,0.032445581,-1.12555572,-0.81176117,0.064057708,0,0.809542657,0.190457343,0
